Abbreviation,City,Customer Name,Customer Segment,Order Date,Order Date (copy),Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,State1,Zip Code,Column,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Row,Sales,Shipping Cost,Unit Price
NE,Kearney,Bill Donatelli,Corporate,03-Jan-12,03-Jan-12,30016,Critical,Technology,Small Box,T18,Telephones and Communication,Central,4224,06-Jan-12,Regular Air,Nebraska,Nebraska,68847,4.5,0.01,1,8,0.57,-212.553,4,754.6555,2.5,110.99
LA,Baton Rouge,Andy Reiter,Corporate,03-Jan-12,03-Jan-12,9637,Low,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,South,1317,07-Jan-12,Regular Air,Louisiana,Louisiana,70802,5.5,0.04,1,12,0.36,32.44,6,123.76,2.27,10.14
LA,Baton Rouge,Andy Reiter,Corporate,03-Jan-12,03-Jan-12,9637,Low,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,South,1316,10-Jan-12,Regular Air,Louisiana,Louisiana,70802,5.5,0.05,1,49,0.37,14440.39,6,28359.4,24.49,574.74
TX,Bryan,Dave Hallsten,Home Office,04-Jan-12,04-Jan-12,49730,High,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,Central,6953,05-Jan-12,Delivery Truck,Texas,Texas,77803,4,0.06,1,3,0.61,-394.69,7,1039.56,30,350.98
TX,Pharr,Tamara Dahlen,Corporate,04-Jan-12,04-Jan-12,8710,Critical,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,Central,1193,05-Jan-12,Regular Air,Texas,Texas,78577,4,0.03,1,17,0.4,-76.015,7,63.34,6.27,3.36
TX,Pharr,Tamara Dahlen,Corporate,04-Jan-12,04-Jan-12,8710,Critical,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,Central,1194,06-Jan-12,Express Air,Texas,Texas,78577,4,0.07,1,42,0.35,8.33,7,151.35,1.93,3.71
TX,Bedford,Darren Budd,Consumer,05-Jan-12,05-Jan-12,57253,Critical,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,Central,8013,05-Jan-12,Regular Air,Texas,Texas,76021,4,0.07,1,48,0.6,-335.24,7,12635.75,35,279.48
TX,Bedford,Darren Budd,Consumer,05-Jan-12,05-Jan-12,57253,Critical,Technology,Small Box,232,Telephones and Communication,Central,8015,05-Jan-12,Regular Air,Texas,Texas,76021,4,0.04,1,25,0.55,667.449,7,2750.107,5.26,125.99
IA,Dubuque,Marina Lichtenstein,Corporate,05-Jan-12,05-Jan-12,32418,Not Specified,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Central,4555,06-Jan-12,Delivery Truck,Iowa,Iowa,52001,5,0.08,1,5,0.55,-131.31,3,1244.19,43.32,243.98
TX,Bedford,Darren Budd,Consumer,05-Jan-12,05-Jan-12,57253,Critical,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,Central,8014,06-Jan-12,Regular Air,Texas,Texas,76021,4,0.08,1,49,0.7,-139.15575,7,240.3,5.68,4.91
TX,Bedford,Darren Budd,Consumer,05-Jan-12,05-Jan-12,57253,Critical,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,Central,8011,06-Jan-12,Regular Air,Texas,Texas,76021,4,0.08,1,43,0.58,1.74,7,78.08,0.75,1.81
OK,Norman,Pauline Chand,Small Business,05-Jan-12,05-Jan-12,28451,Critical,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,Central,3982,06-Jan-12,Regular Air,Oklahoma,Oklahoma,73071,4.5,0.02,1,41,0.59,2593.14,6,8958.46,21.21,209.84
FL,Ormond Beach,Valerie Dominguez,Corporate,05-Jan-12,05-Jan-12,25601,Medium,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,South,3588,06-Jan-12,Regular Air,Florida,Florida,32174,8.5,0.09,1,43,0.68,-131.08,8,257.41,4.69,5.98
NY,Deer Park,Dorris Love,Home Office,05-Jan-12,05-Jan-12,290,Not Specified,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,East,47,06-Jan-12,Regular Air,New York,New York,11729,9.5,0.05,1,24,0.36,-32.48,2,188.73,5.83,7.64
IA,Fort Dodge,Matt Collins,Consumer,05-Jan-12,05-Jan-12,1028,High,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,Central,164,06-Jan-12,Regular Air,Iowa,Iowa,50501,5,0.03,1,6,0.4,-28.46,3,165.75,1.99,28.48
TX,Bedford,Darren Budd,Consumer,05-Jan-12,05-Jan-12,57253,Critical,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,Central,8012,07-Jan-12,Delivery Truck,Texas,Texas,76021,4,0.06,1,29,0.64,-1358.9,7,653.54,53.03,20.98
OK,Norman,Pauline Chand,Small Business,05-Jan-12,05-Jan-12,28451,Critical,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,Central,3981,07-Jan-12,Regular Air,Oklahoma,Oklahoma,73071,4.5,0.01,1,21,0.59,1162.76,6,4201.08,11.54,194.3
LA,Monroe,Robert Waldorf,Home Office,05-Jan-12,05-Jan-12,59232,High,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,South,8291,07-Jan-12,Regular Air,Louisiana,Louisiana,71203,5.5,0,1,23,0.4,245.97,6,725.43,5.76,30.98
IL,Mount Prospect,Susan Vittorini,Home Office,05-Jan-12,05-Jan-12,52386,High,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,Central,7352,07-Jan-12,Delivery Truck,Illinois,Illinois,60056,6,0.08,1,6,0.38,-188.5812,3,700.73,26.3,120.97
OK,Norman,Pauline Chand,Small Business,05-Jan-12,05-Jan-12,28451,Critical,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Central,3983,07-Jan-12,Delivery Truck,Oklahoma,Oklahoma,73071,4.5,0,1,33,0.56,1054.93,6,4913.7,17.85,145.45
IA,Fort Dodge,Matt Collins,Consumer,05-Jan-12,05-Jan-12,1028,High,Technology,Small Box,3285,Telephones and Communication,Central,165,07-Jan-12,Regular Air,Iowa,Iowa,50501,5,0.01,1,11,0.59,-60.39,3,2021.147,5.99,205.99
CT,Bristol,Corey Roper,Small Business,06-Jan-12,06-Jan-12,48226,Low,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,East,6773,06-Jan-12,Delivery Truck,Connecticut,Connecticut,06010,11,0.02,1,23,0.62,-108.8,3,2357.45,35.84,100.98
IL,Galesburg,Julia West,Home Office,06-Jan-12,06-Jan-12,23488,Critical,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Central,3284,07-Jan-12,Delivery Truck,Illinois,Illinois,61401,6,0.04,1,30,0.62,-11053.6,3,26133.39,44.55,880.98
VA,Petersburg,Muhammed Yedwab,Consumer,06-Jan-12,06-Jan-12,16770,Critical,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,South,2325,07-Jan-12,Regular Air,Virginia,Virginia,23805,8,0.03,1,17,0.57,0.610000000,5,37.06,0.7,2.1
SC,Hilton Head Island,Craig Leslie,Consumer,06-Jan-12,06-Jan-12,14274,Not Specified,Technology,Small Box,Accessory35,Telephones and Communication,South,2003,07-Jan-12,Regular Air,South Carolina,South Carolina,29915,8.5,0.03,1,2,0.55,-164.043,6,61.7185,1.1,35.99
VA,Herndon,Tracy Collins,Consumer,06-Jan-12,06-Jan-12,16961,Not Specified,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,South,2350,07-Jan-12,Regular Air,Virginia,Virginia,20170,8,0.06,1,27,0.51,-37.08,5,46.86,1.99,1.7
SC,Hilton Head Island,Craig Leslie,Consumer,06-Jan-12,06-Jan-12,14274,Not Specified,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,South,2001,08-Jan-12,Delivery Truck,South Carolina,South Carolina,29915,8.5,0.01,1,23,0.74,112.44,6,3674.08,30,150.98
FL,Royal Palm Beach,Victor Price,Consumer,06-Jan-12,06-Jan-12,6854,Medium,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,South,948,08-Jan-12,Express Air,Florida,Florida,33411,8.5,0.05,1,19,0.37,2.39,8,129.84,4.95,6.64
FL,Royal Palm Beach,Victor Price,Consumer,06-Jan-12,06-Jan-12,6854,Medium,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,South,947,08-Jan-12,Express Air,Florida,Florida,33411,8.5,0.07,1,1,0.35,-2.392,8,22.13,6.16,7.68
SC,Hilton Head Island,Craig Leslie,Consumer,06-Jan-12,06-Jan-12,14274,Not Specified,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,South,2002,08-Jan-12,Express Air,South Carolina,South Carolina,29915,8.5,0.01,1,46,0.58,-40.72,6,1413.89,13.99,28.28
VA,Herndon,Tracy Collins,Consumer,06-Jan-12,06-Jan-12,16961,Not Specified,Office Supplies,Small Box,Xerox 19,Paper,South,2351,08-Jan-12,Regular Air,Virginia,Virginia,20170,8,0.01,1,34,0.4,433.24,5,1089.59,5.09,30.98
VA,Fairfax,Maribeth Schnelling,Corporate,06-Jan-12,06-Jan-12,41094,Low,Office Supplies,Small Box,Xerox 227,Paper,South,5794,08-Jan-12,Regular Air,Virginia,Virginia,20151,8,0.09,1,46,0.37,-225.86,5,298.97,8.73,6.48
CA,San Clemente,Julia Barnett,Home Office,06-Jan-12,06-Jan-12,23488,High,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,West,3283,08-Jan-12,Regular Air,California,California,92672,2,0.03,1,29,0.56,-73.19,5,101.77,3.97,3.28
VA,Fairfax,Maribeth Schnelling,Corporate,06-Jan-12,06-Jan-12,41094,Low,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,South,5795,10-Jan-12,Regular Air,Virginia,Virginia,20151,8,0.05,1,6,0.84,-153.46,5,159.05,35,20.34
NV,Las Vegas,Chloris Kastensmidt,Consumer,07-Jan-12,07-Jan-12,43909,High,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,West,6199,08-Jan-12,Regular Air,Nevada,Nevada,89115,2.5,0.08,1,46,0.37,-199.134,4,737.25,13.18,15.99
NY,Franklin Square,Jasper Cacioppo,Home Office,07-Jan-12,07-Jan-12,3073,Medium,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,East,450,08-Jan-12,Regular Air,New York,New York,11010,9.5,0.05,1,3,0.4,-11.5805,2,10.58,4.77,1.98
NY,Franklin Square,Jasper Cacioppo,Home Office,07-Jan-12,07-Jan-12,3073,Medium,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,East,451,08-Jan-12,Express Air,New York,New York,11010,9.5,0.07,1,3,0.41,-2314.74,2,2119.67,24.49,699.99
NY,Franklin Square,Jasper Cacioppo,Home Office,07-Jan-12,07-Jan-12,3073,Medium,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,East,452,08-Jan-12,Regular Air,New York,New York,11010,9.5,0.07,1,7,0.39,102.610000000,2,45923.76,24.49,6783.02
OK,Norman,Pauline Chand,Small Business,07-Jan-12,07-Jan-12,32295,High,Technology,Small Box,i1000,Telephones and Communication,Central,4540,08-Jan-12,Regular Air,Oklahoma,Oklahoma,73071,4.5,0.07,1,11,0.58,-112.244,6,607.597,5.99,65.99
TX,Lubbock,George Ashbrook,Consumer,07-Jan-12,07-Jan-12,18405,Medium,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,Central,2538,09-Jan-12,Express Air,Texas,Texas,79424,4,0.09,1,30,0.37,60.2735,7,610.65,8.83,20.98
TX,Lubbock,George Ashbrook,Consumer,07-Jan-12,07-Jan-12,18405,Medium,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,Central,2539,10-Jan-12,Regular Air,Texas,Texas,79424,4,0.03,1,2,0.65,-263.09,7,158.04,14.52,73.98
CA,Fresno,Benjamin Venier,Small Business,07-Jan-12,07-Jan-12,33923,Low,Technology,Small Box,i1000,Telephones and Communication,West,4778,11-Jan-12,Regular Air,California,California,93727,2,0.05,1,34,0.58,425.754,5,1961.7915,5.99,65.99
ME,Brunswick,Julie Kriz,Corporate,07-Jan-12,07-Jan-12,40704,Low,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,East,5733,12-Jan-12,Regular Air,Maine,Maine,04011,11.5,0.01,1,6,0.56,-2.06,0,11.57,0.7,1.76
OH,Garfield Heights,Sandra Flanagan,Home Office,08-Jan-12,08-Jan-12,4193,High,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,East,612,08-Jan-12,Regular Air,Ohio,Ohio,44125,8,0.03,1,3,0.44,64.25,3,75.77,8.99,22.72
OH,Garfield Heights,Sandra Flanagan,Home Office,08-Jan-12,08-Jan-12,4193,High,Office Supplies,Small Box,Avery 491,Labels,East,611,08-Jan-12,Regular Air,Ohio,Ohio,44125,8,0.07,1,16,0.39,14.42,3,64.29,0.99,4.13
SC,Myrtle Beach,Luke Schmidt,Home Office,08-Jan-12,08-Jan-12,30083,Not Specified,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,South,4234,09-Jan-12,Regular Air,South Carolina,South Carolina,29577,8.5,0.07,1,23,0.58,20.43,6,324.28,3.5,14.56
WA,Edmonds,Ruben Dartt,Corporate,08-Jan-12,08-Jan-12,7203,High,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,West,998,10-Jan-12,Regular Air,Washington,Washington,98026,1.5,0.03,1,25,0.38,9296.348,2,21752.01,19.99,896.99
CA,Pasadena,Mark Haberlin,Small Business,09-Jan-12,09-Jan-12,31715,Not Specified,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,West,4451,09-Jan-12,Regular Air,California,California,91104,2,0.05,1,44,0.56,-116.87,5,145.19,3.97,3.28
OK,Lawton,Joni Blumstein,Home Office,09-Jan-12,09-Jan-12,18561,Not Specified,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,Central,2571,10-Jan-12,Regular Air,Oklahoma,Oklahoma,73505,4.5,0.02,1,9,0.39,-38.9,6,45.87,6.89,4.13
CA,Pasadena,Mark Haberlin,Small Business,09-Jan-12,09-Jan-12,31715,Not Specified,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,West,4450,10-Jan-12,Regular Air,California,California,91104,2,0.01,1,11,0.36,-53.8545,5,68.5,7.57,5.38
CA,Gilroy,Cynthia Voltz,Corporate,09-Jan-12,09-Jan-12,8576,High,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,West,1173,11-Jan-12,Express Air,California,California,95020,2,0,1,43,0.59,-164.25,5,541.45,8.99,11.66
NJ,Plainfield,Yana Sorensen,Corporate,09-Jan-12,09-Jan-12,58343,Not Specified,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,East,8161,11-Jan-12,Regular Air,New Jersey,New Jersey,07060,10,0.07,1,39,0.4,11.32,3,121.87,1.35,3.29
ME,Augusta,Mark Haberlin,Small Business,09-Jan-12,09-Jan-12,31715,Not Specified,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,East,4449,11-Jan-12,Regular Air,Maine,Maine,04330,11.5,0.09,1,24,0.59,-4.09,0,64.11,0.97,2.78
WI,Madison,Olvera Toch,Home Office,09-Jan-12,09-Jan-12,40097,Low,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,Central,5666,14-Jan-12,Regular Air,Wisconsin,Wisconsin,53711,5.5,0.1,1,47,0.58,-71,2,117.88,2.4,2.6
PA,King of Prussia,Benjamin Patterson,Corporate,09-Jan-12,09-Jan-12,47138,Low,Technology,Small Box,M70,Telephones and Communication,East,6627,16-Jan-12,Regular Air,Pennsylvania,Pennsylvania,19406,9,0.04,1,1,0.59,-506.308,3,107.95,8.99,125.99
MI,East Lansing,Kristina Nunn,Consumer,10-Jan-12,10-Jan-12,55367,Critical,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,Central,7731,11-Jan-12,Delivery Truck,Michigan,Michigan,48823,7.5,0.05,1,31,0.56,-686.01,2,2137.1,46.74,70.98
TX,Denton,Darren Powers,Corporate,10-Jan-12,10-Jan-12,14596,Critical,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,Central,2046,11-Jan-12,Regular Air,Texas,Texas,76201,4,0.06,1,19,0.56,-53.75,7,63.14,3.97,3.28
UT,Lehi,Ann Steele,Corporate,10-Jan-12,10-Jan-12,44391,Not Specified,Office Supplies,Small Box,Xerox 1996,Paper,West,6273,11-Jan-12,Regular Air,Utah,Utah,84043,4,0.02,1,16,0.37,-85.23,5,112.81,9.17,6.48
PA,Pittsburgh,Rob Haberlin,Consumer,10-Jan-12,10-Jan-12,33988,Medium,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,East,4787,11-Jan-12,Regular Air,Pennsylvania,Pennsylvania,15122,9,0,1,30,0.79,-128.47,3,164.78,5.14,5.02
VT,Essex Junction,Giulietta Dortch,Corporate,10-Jan-12,10-Jan-12,28999,High,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,East,4073,11-Jan-12,Regular Air,Vermont,Vermont,05451,10,0.02,1,34,0.45,420.05,1,1177.5,1.99,33.98
TX,Denton,Darren Powers,Corporate,10-Jan-12,10-Jan-12,14596,Critical,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,Central,2045,12-Jan-12,Regular Air,Texas,Texas,76201,4,0.01,1,24,0.43,73.33,7,199.12,0.96,8.34
MO,Hazelwood,Maria Bertelson,Home Office,10-Jan-12,10-Jan-12,28290,Low,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,Central,3965,12-Jan-12,Express Air,Missouri,MO,63042,5.5,0.01,1,3,0.66,-179.36,4,523.58,19.99,161.55
MI,East Lansing,Kristina Nunn,Consumer,10-Jan-12,10-Jan-12,55367,Critical,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,Central,7732,12-Jan-12,Regular Air,Michigan,Michigan,48823,7.5,0.05,1,48,0.55,129.87,2,571.17,2.36,11.55
MN,Minnetonka,Sean Wendt,Corporate,10-Jan-12,10-Jan-12,31553,Critical,Office Supplies,Small Box,Multimedia Mailers,Envelopes,Central,4425,12-Jan-12,Regular Air,Minnesota,Minnesota,55345,4.5,0.09,1,32,0.39,1907.94,2,4906.85,19.99,162.93
MO,Hazelwood,Maria Bertelson,Home Office,10-Jan-12,10-Jan-12,28290,Low,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,Central,3964,14-Jan-12,Express Air,Missouri,MO,63042,5.5,0.05,1,43,0.74,-154.24,4,1307.35,8.65,30.42
KY,Pleasure Ridge Park,Michelle Moray,Corporate,10-Jan-12,10-Jan-12,20037,Low,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,South,2775,15-Jan-12,Regular Air,Kentucky,Kentucky,40258,6.5,0.02,1,35,0.42,339.58,4,1009.42,8.55,29.18
KY,Pleasure Ridge Park,Michelle Moray,Corporate,10-Jan-12,10-Jan-12,20037,Low,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,South,2776,15-Jan-12,Delivery Truck,Kentucky,Kentucky,40258,6.5,0.03,1,49,0.57,4913.16,4,15137.11,14.7,297.64
NJ,Trenton,Bradley Drucker,Small Business,11-Jan-12,11-Jan-12,33797,Not Specified,Office Supplies,Small Box,Xerox 188,Paper,East,4758,11-Jan-12,Regular Air,New Jersey,New Jersey,08601,10,0.03,1,18,0.36,30.53,3,216.87,5.01,11.34
MA,Bellingham,Bradley Drucker,Small Business,11-Jan-12,11-Jan-12,33797,Not Specified,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,East,4754,11-Jan-12,Delivery Truck,Massachusetts,MA,02019,10.5,0.08,1,20,0.57,653.68,2,4531.34,14.7,297.64
MA,Beverly,Bradley Drucker,Small Business,11-Jan-12,11-Jan-12,33797,Not Specified,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,East,4755,12-Jan-12,Regular Air,Massachusetts,MA,01915,10.5,0.02,1,44,0.73,-449.04,2,574.5,14.37,12.99
MA,Hanson,Bradley Drucker,Small Business,11-Jan-12,11-Jan-12,33797,Not Specified,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,East,4756,12-Jan-12,Regular Air,Massachusetts,MA,02341,10.5,0.06,1,18,0.52,-22.37,2,262.94,6.75,14.42
IL,Springfield,Alan Barnes,Corporate,11-Jan-12,11-Jan-12,19655,High,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Central,2726,12-Jan-12,Regular Air,Illinois,Illinois,62701,6,0.06,1,31,0.51,304.42,3,1143.45,1.99,39.24
NJ,Hawthorne,Bradley Drucker,Small Business,11-Jan-12,11-Jan-12,33797,Not Specified,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,East,4757,13-Jan-12,Express Air,New Jersey,New Jersey,07506,10,0.05,1,29,0.49,-103.78,3,138.17,6.6,4.14
TN,Lebanon,Andy Gerbode,Consumer,11-Jan-12,11-Jan-12,21830,Low,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,South,3040,18-Jan-12,Delivery Truck,Tennessee,Tennessee,37087,7,0.08,1,19,0.56,906.8,5,6991.65,12.06,399.98
